方案,组编号,服务区,架次,完工时间_s,工作量_s,能耗_kWh,A运输机需求,A运输机缺口,A电池需求,A电池缺口,B运输机需求,B运输机缺口,B电池需求,B电池缺口,C运输机需求,C运输机缺口,C电池需求,C电池缺口,中继无人机需求,中继能源组件需求
K2_A,1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S011|S012|S013|S015,22,7730.5,47239.89999999999,74.311942,4,0,6,0,2,0,4,0,2,0,4,0,8,8
K2_A,2,S010|S014,2,3411.3,3411.3,3.9534450000000003,0,0,0,0,1,0,2,0,0,0,0,0,1,1
K2_B,1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S010|S011|S012|S013|S015,23,7730.5,48791.39999999999,76.131684,4,0,6,0,2,0,4,0,2,0,4,0,8,8
K2_B,2,S014,1,1859.8,1859.8,2.133703,0,0,0,0,1,0,1,0,0,0,0,0,1,1
K2_C,1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S011|S012|S013|S014|S015,23,7730.5,49099.69999999999,76.44564500000001,4,0,6,0,2,0,4,0,2,0,4,0,8,8
K2_C,2,S010,1,3411.3,1551.5000000000002,1.819742,0,0,0,0,1,0,1,0,0,0,0,0,1,1
K3,1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S011|S012|S013|S015,22,7730.5,47239.89999999999,74.311942,4,0,6,0,2,0,4,0,2,0,4,0,8,8
K3,2,S010,1,3411.3,1551.5000000000002,1.819742,0,0,0,0,1,0,1,0,0,0,0,0,1,1
K3,3,S014,1,1859.8,1859.8,2.133703,0,0,0,0,1,0,1,0,0,0,0,0,1,1
