架次编号,event_index,segment,phase,t_start,t_end,from_node,to_node
T009,11,2,下降,3436.80293593384,3492.9473046811067,S007,S011
T009,12,2,物资交接,3492.9473046811067,3521.01948905474,S007,S011
T009,13,3,爬升,3521.01948905474,3579.8595428384515,S011,O01
T009,14,3,巡航,3579.8595428384515,4021.159946216289,S011,O01
T009,15,3,下降,4021.159946216289,4080.0,S011,O01
T010,0,-1,地面准备,1266.7,1360.95,O01,O01
T010,1,0,爬升,1360.95,1416.6262582980266,O01,S006
T010,2,0,巡航,1416.6262582980266,1834.1981955332267,O01,S006
T010,3,0,下降,1834.1981955332267,1889.8744538312533,O01,S006
T010,4,0,物资交接,1889.8744538312533,1917.7125829802667,O01,S006
T010,5,1,爬升,1917.7125829802667,1961.7576843188976,S006,S007
T010,6,1,巡航,1961.7576843188976,2292.0959443586294,S006,S007
T010,7,1,下降,2292.0959443586294,2336.1410456972603,S006,S007
T010,8,1,物资交接,2336.1410456972603,2358.163596366576,S006,S007
T010,9,2,爬升,2358.163596366576,2441.6937441174628,S007,O01
T010,10,2,巡航,2441.6937441174628,3068.1698522491133,S007,O01
T010,11,2,下降,3068.1698522491133,3151.7,S007,O01
T011,0,-1,地面准备,1859.8,1937.375,O01,O01
T011,1,0,爬升,1937.375,2011.07125,O01,S010
T011,2,0,巡航,2011.07125,2563.793125,O01,S010
T011,3,0,下降,2563.793125,2637.489375,O01,S010
T011,4,0,物资交接,2637.489375,2674.3375,O01,S010
T011,5,1,爬升,2674.3375,2751.9125,S010,O01
T011,6,1,巡航,2751.9125,3333.725,S010,O01
T011,7,1,下降,3333.725,3411.3,S010,O01
T012,0,-1,地面准备,2104.0,2238.495,O01,O01
T012,1,0,爬升,2238.495,2366.108039560511,O01,S002
T012,2,0,巡航,2366.108039560511,3323.2058362643447,O01,S002
T012,3,0,下降,3323.2058362643447,3450.8188758248557,O01,S002
T012,4,0,物资交接,3450.8188758248557,3514.6253956051114,O01,S002
T012,5,1,爬升,3514.6253956051114,3544.3328919482346,S002,S009
T012,6,1,巡航,3544.3328919482346,3767.1391145216603,S002,S009
T012,7,1,下降,3767.1391145216603,3796.8466108647835,S002,S009
T012,8,1,物资交接,3796.8466108647835,3811.700359036345,S002,S009
T012,9,2,爬升,3811.700359036345,3857.342436533359,S009,S001
T012,10,2,巡航,3857.342436533359,4199.658017760963,S009,S001
T012,11,2,下降,4199.658017760963,4245.300095257977,S009,S001
T012,12,2,物资交接,4245.300095257977,4268.121134006484,S009,S001
T012,13,3,爬升,4268.121134006484,4323.466277795274,S001,O01
T012,14,3,巡航,4323.466277795274,4738.554856211207,S001,O01
T012,15,3,下降,4738.554856211207,4793.9,S001,O01
T013,0,-1,地面准备,2006.6,2086.9049999999997,O01,O01
T013,1,0,爬升,2086.9049999999997,2163.1947499999997,O01,S013
T013,2,0,巡航,2163.1947499999997,2735.3678749999995,O01,S013
T013,3,0,下降,2735.3678749999995,2811.6576249999994,O01,S013
T013,4,0,物资交接,2811.6576249999994,2849.8024999999993,O01,S013
T013,5,1,爬升,2849.8024999999993,2930.107499999999,S013,O01
T013,6,1,巡航,2930.107499999999,3532.394999999999,S013,O01
T013,7,1,下降,3532.394999999999,3612.7,S013,O01
T014,0,-1,地面准备,2778.9,2887.27,O01,O01
T014,1,0,爬升,2887.27,2990.2215,O01,S008
T014,2,0,巡航,2990.2215,3762.35775,O01,S008
T014,3,0,下降,3762.35775,3865.3092500000002,O01,S008
T014,4,0,物资交接,3865.3092500000002,3916.7850000000003,O01,S008
T014,5,1,爬升,3916.7850000000003,4025.155,S008,O01
T014,6,1,巡航,4025.155,4837.93,S008,O01
T014,7,1,下降,4837.93,4946.3,S008,O01
T015,0,-1,地面准备,2501.0,2630.08,O01,O01
T015,1,0,爬升,2630.08,2751.352689450198,O01,S004
T015,2,0,巡航,2751.352689450198,3660.8978603266837,O01,S004
T015,3,0,下降,3660.8978603266837,3782.1705497768817,O01,S004
T015,4,0,物资交接,3782.1705497768817,3842.806894501981,O01,S004
T015,5,1,爬升,3842.806894501981,3883.773261268111,S004,S005
T015,6,1,巡航,3883.773261268111,4191.021012014089,S004,S005
T015,7,1,下降,4191.021012014089,4231.98737878022,S004,S005
T015,8,1,物资交接,4231.98737878022,4252.470562163285,S004,S005
T015,9,2,爬升,4252.470562163285,4339.85260825136,S005,O01
T015,10,2,巡航,4339.85260825136,4995.217953911925,S005,O01
T015,11,2,下降,4995.217953911925,5082.6,S005,O01
T016,0,-1,地面准备,3151.7,3262.5499999999997,O01,O01
T016,1,0,爬升,3262.5499999999997,3330.3953448899333,O01,S005
T016,2,0,巡航,3330.3953448899333,3839.2354315644347,O01,S005
T016,3,0,下降,3839.2354315644347,3907.0807764543683,O01,S005
T016,4,0,物资交接,3907.0807764543683,3941.003448899335,O01,S005
T016,5,1,爬升,3941.003448899335,3980.003221681973,S005,S008
T016,6,1,巡航,3980.003221681973,4272.50151755176,S005,S008
T016,7,1,下降,4272.50151755176,4311.501290334399,S005,S008
T016,8,1,物资交接,4311.501290334399,4331.001176725717,S005,S008
T016,9,2,爬升,4331.001176725717,4440.232631807221,S008,O01
T016,10,2,巡航,4440.232631807221,5259.468544918496,S008,O01
T016,11,2,下降,5259.468544918496,5368.7,S008,O01
T017,0,-1,地面准备,4793.9,4940.73,O01,O01
T017,1,0,爬升,4940.73,4989.380675361917,O01,S011
T017,2,0,巡航,4989.380675361917,5354.260740576304,O01,S011
T017,3,0,下降,5354.260740576304,5402.911415938222,O01,S011
T017,4,0,物资交接,5402.911415938222,5427.2367536191805,O01,S011
T017,5,1,爬升,5427.2367536191805,5487.019689010494,S011,S015
T017,6,1,巡航,5487.019689010494,5935.39170444535,S011,S015
T017,7,1,下降,5935.39170444535,5995.174639836664,S011,S015
T017,8,1,物资交接,5995.174639836664,6025.066107532321,S011,S015
T017,9,2,爬升,6025.066107532321,6070.214677892235,S015,S003
T017,10,2,巡航,6070.214677892235,6408.82895559159,S015,S003
T017,11,2,下降,6408.82895559159,6453.977525951504,S015,S003
T017,12,2,物资交接,6453.977525951504,6476.55181113146,S015,S003
T017,13,3,爬升,6476.55181113146,6608.546357328149,S003,O01
T017,14,3,巡航,6608.546357328149,7598.50545380331,S003,O01
T017,15,3,下降,7598.50545380331,7730.5,S003,O01
T018,0,-1,地面准备,3452.1,3567.435,O01,O01
T018,1,0,爬升,3567.435,3654.9559338796494,O01,S015
T018,2,0,巡航,3654.9559338796494,4311.362937977019,O01,S015
T018,3,0,下降,4311.362937977019,4398.8838718566685,O01,S015
T018,4,0,物资交接,4398.8838718566685,4442.644338796493,O01,S015
T018,5,1,爬升,4442.644338796493,4497.165874583745,S015,S005
T018,6,1,巡航,4497.165874583745,4906.077392988134,S015,S005
T018,7,1,下降,4906.077392988134,4960.598928775386,S015,S005
T018,8,1,物资交接,4960.598928775386,4987.859696669012,S015,S005
T018,9,2,爬升,4987.859696669012,5069.0113075459585,S005,O01
T018,10,2,巡航,5069.0113075459585,5677.648389123055,S005,O01
T018,11,2,下降,5677.648389123055,5758.8,S005,O01
T019,0,-1,地面准备,5368.7,5463.555,O01,O01
T019,1,0,爬升,5463.555,5553.66725,O01,S008
T019,2,0,巡航,5553.66725,6229.5091250000005,O01,S008
T019,3,0,下降,6229.5091250000005,6319.621375000001,O01,S008
T019,4,0,物资交接,6319.621375000001,6364.677500000001,O01,S008
T019,5,1,爬升,6364.677500000001,6459.532500000001,S008,O01
T019,6,1,巡航,6459.532500000001,7170.9450000000015,S008,O01
T019,7,1,下降,7170.9450000000015,7265.8,S008,O01
T020,0,-1,地面准备,3382.3,3491.65,O01,O01
T020,1,0,爬升,3491.65,3595.5325000000003,O01,S004
T020,2,0,巡航,3595.5325000000003,4374.651250000001,O01,S004
T020,3,0,下降,4374.651250000001,4478.5337500000005,O01,S004
T020,4,0,物资交接,4478.5337500000005,4530.475,O01,S004
T020,5,1,爬升,4530.475,4639.825000000001,S004,O01
T020,6,1,巡航,4639.825000000001,5459.950000000001,S004,O01
T020,7,1,下降,5459.950000000001,5569.3,S004,O01
T021,0,-1,地面准备,5082.6,5200.360000000001,O01,O01
T021,1,0,爬升,5200.360000000001,5312.232000000001,O01,S003
T021,2,0,巡航,5312.232000000001,6151.272000000001,O01,S003
T021,3,0,下降,6151.272000000001,6263.144000000001,O01,S003
T021,4,0,物资交接,6263.144000000001,6319.080000000001,O01,S003
T021,5,1,爬升,6319.080000000001,6436.840000000001,S003,O01
T021,6,1,巡航,6436.840000000001,7320.040000000001,S003,O01
T021,7,1,下降,7320.040000000001,7437.8,S003,O01
