iteration,current_cost,best_cost
1,774.0,774.0
2,660.6078177014422,660.6078177014422
3,856.2102870062287,660.6078177014422
4,834.7023003137272,660.6078177014422
5,566.3739015890358,566.3739015890358
6,576.8171874913846,566.3739015890358
7,555.1207891477769,555.1207891477769
8,832.7580065835751,555.1207891477769
9,688.079482000522,555.1207891477769
10,671.6150208500281,555.1207891477769
11,706.9803819511577,555.1207891477769
12,601.1470934834075,555.1207891477769
13,646.7505425484577,555.1207891477769
14,582.5637790015747,555.1207891477769
15,681.2694395676896,555.1207891477769
16,590.699866335831,555.1207891477769
17,655.4493315259267,555.1207891477769
18,684.0365228716843,555.1207891477769
19,621.6071289129607,555.1207891477769
20,659.3402599065955,555.1207891477769
21,565.9443553870834,555.1207891477769
22,564.4883820248361,555.1207891477769
23,617.2071913805796,555.1207891477769
24,596.2740063596855,555.1207891477769
25,549.6302535476163,549.6302535476163
26,579.1560686222772,549.6302535476163
27,630.3438176319738,549.6302535476163
28,565.3046359379398,549.6302535476163
29,583.8149087097698,549.6302535476163
30,567.9586233920401,549.6302535476163
31,580.2228815346807,549.6302535476163
32,580.057885600285,549.6302535476163
33,581.6988080621934,549.6302535476163
34,575.5155033842234,549.6302535476163
35,577.9874631931275,549.6302535476163
36,564.8176679758793,549.6302535476163
37,555.9446721549242,549.6302535476163
38,538.1823012708177,538.1823012708177
39,487.16674617660186,487.16674617660186
40,533.8933140007593,487.16674617660186
41,523.7977386960777,487.16674617660186
42,522.3448599986324,487.16674617660186
43,503.2637625542318,487.16674617660186
44,537.8927630082956,487.16674617660186
45,496.8769250829592,487.16674617660186
46,525.5078773084281,487.16674617660186
47,513.3928890842284,487.16674617660186
48,518.3818543368072,487.16674617660186
49,519.9483791924926,487.16674617660186
50,528.9665870545524,487.16674617660186
51,517.7982705197346,487.16674617660186
52,510.63862943314547,487.16674617660186
53,510.68284957136206,487.16674617660186
54,493.73764699332844,487.16674617660186
55,490.8763162064453,487.16674617660186
56,482.7787628026288,482.7787628026288
57,486.1623713642632,482.7787628026288
58,489.2301577392124,482.7787628026288
59,477.2936574703844,477.2936574703844
60,474.3250896720092,474.3250896720092
61,466.9134587501179,466.9134587501179
62,478.5047663165491,466.9134587501179
63,465.2424896578614,465.2424896578614
64,465.413014893504,465.2424896578614
65,457.9644595773125,457.9644595773125
66,458.5844735325909,457.9644595773125
67,444.277122,444.277122
68,450.8031707520486,444.277122
69,444.3099852532346,444.277122
70,444.277122,444.277122
71,448.0093484501929,444.277122
72,446.39097558946753,444.277122
73,445.0061255359231,444.277122
74,446.0760424630465,444.277122
75,446.51568122221755,444.277122
76,445.5500718403053,444.277122
77,445.7765449071888,444.277122
78,447.7945275994339,444.277122
79,446.3531290641667,444.277122
80,445.5234490328783,444.277122
81,446.09700066531815,444.277122
82,446.7852951589672,444.277122
83,444.9183632524094,444.277122
84,445.5478938783124,444.277122
85,446.0106599449994,444.277122
86,444.3225448447358,444.277122
87,446.86775270872056,444.277122
88,445.40522679341456,444.277122
89,444.3483643691347,444.277122
90,445.7414186124407,444.277122
91,444.8832221914315,444.277122
92,444.6416052389259,444.277122
93,445.8889077750201,444.277122
94,445.48286063394056,444.277122
95,446.4103475826768,444.277122
96,444.47656199611896,444.277122
97,444.32466693664276,444.277122
98,444.5085324954408,444.277122
99,444.74762771586984,444.277122
100,445.048101077787,444.277122
